kalimat_id,kata,sense,preprocessed
336691,cerah,4801,cuaca cerah lazim panjang tahun
336270,cerah,4801,gambar hasil layar cukup cerah milik speaker mampu hasil suara keras jernih
336555,cerah,4803,masa depan cerah pemuda umur prancis abad
336618,cerah,4801,cor caroli alpha canum venaticorum nama lengkap cor caroli regis martyris bintang paling cerah rasi canes venatici
336613,cerah,4801,sanders lebih suka cat air lilo maksud tampil warna cerah buku cerita gambar
336406,cerah,4801,ulleungdo milik iklim subtropis basah klasifikasi iklim koppen cfa pada musim dingin hujan sangat deras cuaca cerah sangat jarang
336324,cerah,4801,ikan hias mungkin besar sulit tahan hidup alam liar akibat warna-warninya cerah sirip panjang
336401,cerah,4801,buah entremet tanda akhir saji suatu set menu dapat upa apa mulai frumenty sederhana macam bubur gandum warna cerah bumbu rempah
336426,cerah,4801,alangkah lega hati ia mulai lihat binatang ternak liar atas ladang rumput burung bangan udara cerah
337760,coklat,4703,sisi atas tubuh warna coklat tembaga emas
337381,coklat,470d,hasil uji tunjuk ada beberapa varietas tahan wereng coklat biotipe namun jadi rentan wereng punggung putih
337629,coklat,4703,lucy milik mata coklat rambut pirang panjang bahu biasa ikat pita bagai warna ekor kuda kecil belah kanan kepala seluruh rambut urai
337446,coklat,4703,punggung badan warna coklat kelabu garis hitam panjang anterior badan
338100,coklat,4703,jenis koral seringkali temu karang daging porites lobata banyak warna ungu coklat kuning
337480,coklat,4703,kepala warna coklat merah garis hitam mata tengkuk
336955,coklat,4703,remaja milik corak coklat bintik kuning coklat
816088,jalan,1902,rancang pei tempat kotak sepatu kaku buah sudut kisi jalan
810534,jalan,1903,jalan cerita kostum guna tidak sesuai zaman
809166,jalan,1901,taraf hidup masyarakat tingkat dukung buat jalan desa bangun rumah duduk laku gotong royong atur aman sama
811504,jalan,1901,dapat lima jalan tol besar hubung distrik bisnis sentral johor bahru kota luar
814156,jalan,1901,jumlah jalan tempat kota beri nama ilmuwan matematikawan temu dieselstrasse
811170,jalan,1901,tol serang - panimbang rupa jalan tol hubung serang kawasan ekonomi khusus pariwisata tanjung lesung banten
824010,jalan,190b,batas paroki santo petrus lubukbaja jalan yos sudarso
819672,jalan,1901,tanah siang rupa jalan buat zaman jajah hindia belanda
817018,jalan,190b,pulo geulis capai jalan kaki lewat jembatan hubung tepi sungai ciliwung belah barat lingkung jalan roda
1053941,sarung,120d,main telanjang dada kena pakai perang lindung paha betis upa celana panjang warna putih sarung songke songket khas manggarai
1053936,sarung,1202,hela sarung tutup pinggang hingga kaki baju tipis longgar kain muslin lihat payudara leluk-lekuk dada
1053976,sarung,1202,lung kenal sarung pakai kena pinggang
1053713,sarung,1201,kayu mahang damar banyak manfaat paling sarung alat potong kayu bakar
1053857,sarung,1201,anton gabrielle alias the wonderboy robertino sang juara tinju paksa gantung sarung tinju
1054017,sarung,1202,sarung pakai komunitas laut semenanjung malaya dekat sumatra jawa
1053863,sarung,1201,dalam video game pokemon emerald tampil nyaris sama di versi serial tv pokemon diamond and pearl kali ia pakai kemeja warna orange lengan sedikit ubah sarung tangan ia pakai
1053828,sarung,1202,kain sebut kena sarung setinggi dada bagi bahu tutup taba huku
1053569,sarung,1202,sarung muna rupa kain tenun khas buat suku muna sulawesi tenggara
1053988,sarung,1201,beberapa ahli gemar senjata rujuk sarung gladius kata latin vagina
1006405,mengeluarkan,2905,isyana mengeluarkan semua pikir publik sebut halu dapat ungkap gema
1004587,mengeluarkan,2905,majelis umum serikat bangsa mengeluarkan bagai resolusi kena masalah yang angkat judul tanya pulau mayotte komoro tahun
1008067,mengeluarkan,2902,lanjut nokia mengeluarkan versi beta nokia lengkap sistem operasi internet tablet baru sempurna juni
1004006,mengeluarkan,2905,detik akhir jelang laksana hukum mati atas tiga tuduh kasus poso perintah indonesia mengeluarkan perintah tunda
1005813,mengeluarkan,2905,cendekiawan mengeluarkan bagai alas kena tiada sebut
1004009,mengeluarkan,2901,dewan aman pbb gagal mengeluarkan resolusi kutuk serang militer israel pos pbb khiam
724669,dasar,4503,lantai dasar fungsi tempat daftar turun ambil bagasi area publik karyawan
729078,dasar,4502,atheist alliance international mulai kampanye alexander nyata kasus sorot hak dasar bebas ekspres yakin diskriminasi hadap para ateis utama negara islam
726198,dasar,450d,sdn jati pagi rupa buah sekolah dasar negeri letak jakarta timur indonesia
725396,dasar,450d,sd kartika x - pagi rupa buah sekolah dasar swasta letak jakarta timur indonesia
727103,dasar,4502,lama perintah kazimierz meciptakan buah lambang kenal polandia ia promosi bangsawan darat atas druzyna dasar kuasa
726488,dasar,450d,sdn jatinegara sekolah dasar negeri letak buar i rt jakarta timur indonesia
722785,dasar,4503,proses selesai konstruksi fondasi dasar monumen makan waktu lama tahun kerja
728626,dasar,450d,ia deklarasi asosiasi ekonomi politik indonesia aepi buah asosiasi tuju juang laksana pasal undang undang dasar uud
716950,dasar,4502,dilthey formulasi metodologi dasar ilmu manusia aku khas sifat verstehen
792440,dunia,1304,eksistensi bmt jalan lama tidak semata-mata kejar untung dunia tetapi perhati suatu transaksi halal haram
800085,harapan,3502,sama empat murid kyai agung barata pasang rajah kenal nama tulak balak pasopati harapan dukuh alas tuwo jadi dukuh lestari nyaman aman maju
799703,harapan,3502,bafo aji tak suka namun pilih harapan akan datang bantu amerika
800991,harapan,350b,kampung seks rasio besar kampung harapan jaya seks rasio yang rendah kampung demisa sp iidan firo seksrasio
801891,harapan,3503,egoisme rendah sebab taruh percaya buta segala harapan janji muluk tuan
801295,harapan,3502,tzu chi kini pusat hualien taiwan diri master cheng yen orang biksuni april dia inspirasi guru sekaligus mentor master yin shun yin shun dao shi harapan besar ajar buddha demi semua makhluk
800874,harapan,3501,ultimatum britania akhir harapan portugal capai tuju rusak wibawa monarki portugal kuat gera republikanisme
926111,layar,1601,juan sebastian elcano selesai jelajah spanyol magellan layar seluruh dunia
970242,menangkap,3302,godwin lapor hasil menangkap alfred sendiri telah tipu pura jadi sekutu kemudian serah pasu harold i
969241,menangkap,3302,nama ilmiah achantophis asal bahasa greeka achantos duri ophis ular acu ekor kecil tajam guna umpan menangkap mangsa
970010,menangkap,3302,meksipun peter csak bebas raja ibunda gutkeled koszegi menangkap adik lazlo andras bawa slavonia
1022169,menyusun,2403,ini sttl ylh sedang menyusun borang akreditasi segera sampai badan akreditasi nasional ban evaluasi tuju peringkat akreditasi a rupa suatu peringkat akreditasi tinggi
1022550,menyusun,2402,tinggal kabupaten purwodadi tuju arah barat akhir sampai prajurit pangeran diponegoro suatu tempat batu sangat strategis sembunyi menyusun kuat baru
1086336,tinggi,5106,ion ortonitrat tetrahedral panjang ikat n-o pm tiba pendek tunjuk interaksi polar pendek ikat orbital d milik energi terlalu tinggi libat
1095740,tinggi,5103,letus lanjut tidak terlalu kuat awan naik hingga tinggi seperti belum tidak cukup tinggi hembus lintas eropa
1088526,tinggi,510x,rupa orang putri rus kiev asal dinasti rurikid oleh nikah adipati wielkopolska sejak tahun adipati tinggi polandia
1082208,tinggi,5106,haber bosch akhir dianugerahipenghargaan nobel tahun atas karya dalam tanggulang masalah kimia teknik teknologi alir sambung tekan tinggi skala besar
162603,besar,540a,tahun mufti besar arab saudi abdul aziz bin abdullah alu syaikh dapat islam wajib usaha hormat kontrak dan intimidasi peras ancam kerja
167178,besar,5403,bagi besar jadi konsentrasi negara kembang asia timur tengah afrika utara
190623,besar,5402,deposit besar lain deposit logam golong platina merensky reef sekitar bushveld igneous complex afrika selatan
137157,besar,540b,kelompok selatan masuk nikobar besar km nicobar kecil km kondul km and pulomilo km pulau kecil meroe trak treis menchal cubra pigeon megapod hun
337435,coklat,4703,umum ukur besar mm biasa warna coklat hitam
832409,jaringan,3602,saat akuisisi saham milik spacetoon net akhir sabtu mei siar spacetoon jaringan terrestrial hilang ganti net mulai siar perdana guna frekuensi milik spacetoon seluruh mantan jaringan frekuensi spacetoon indonesia
839188,jaringan,3603,blok acara yang mulai siar hari senin maret awal ganti power zon inkarnasi blok super adventures telah jadi pokok jaringan sejak oktober
837039,jaringan,3602,prva prva srpska televizija televisi serbia pertama jaringan televisi komersial serbia cakup nasional
835153,jaringan,3602,salur rupa jaringan televisi satelit berita dua mesir salur satelit arab pertama siar program bahasa asing inggris perancis ibrani
